Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
29773-40199,SF,Giannis,Giannis Antetokounmpo,Antetokounmpo,53.83750153,8,12800,MIL@POR,MIL,POR,,,
29773-12332,PG,John,John Wall,Wall,41.93333266,9,10400,WAS@DAL,WAS,DAL,,,
29773-20848,PG,Damian,Damian Lillard,Lillard,43.95,10,10100,MIL@POR,POR,MIL,,,
29773-14507,PG,Kemba,Kemba Walker,Walker,42.86000061,10,9200,ATL@CHA,CHA,ATL,,,
29773-15595,SG,Bradley,Bradley Beal,Beal,37.38888889,9,8800,WAS@DAL,WAS,DAL,,,
29773-9561,C,DeAndre,DeAndre Jordan,Jordan,37.42222087,9,8600,WAS@DAL,DAL,WAS,,,
29773-84673,C,Deandre,Deandre Ayton,Ayton,37.18889025,9,8500,BKN@PHO,PHO,BKN,,,
29773-58460,SG,Devin,Devin Booker,Booker,37.73333232,6,8100,BKN@PHO,PHO,BKN,,,
29773-84669,SG,Luka,Luka Doncic,Doncic,33.81110975,9,8100,WAS@DAL,DAL,WAS,,,
29773-23798,SG,Caris,Caris LeVert,LeVert,34.82000122,10,8000,BKN@PHO,BKN,PHO,,,
29773-55057,C,Jusuf,Jusuf Nurkic,Nurkic,32.47000122,10,7600,MIL@POR,POR,MIL,,,
29773-84671,PG,Trae,Trae Young,Young,33.36666531,9,7500,ATL@CHA,ATL,CHA,,,
29773-16261,SG,Khris,Khris Middleton,Middleton,33.85555691,9,7200,MIL@POR,MIL,POR,,,
29773-12355,PG,Eric,Eric Bledsoe,Bledsoe,31.22222222,9,7100,MIL@POR,MIL,POR,,,
29773-9660,C,Dwight,Dwight Howard,Howard,29.04999924,2,6800,WAS@DAL,WAS,DAL,,,
29773-58312,PG,D'Angelo,D'Angelo Russell,Russell,28.25,10,6800,BKN@PHO,BKN,PHO,,,
29773-9809,SF,Nicolas,Nicolas Batum,Batum,27.95,10,6700,ATL@CHA,CHA,ATL,,,
29773-19067,SG,CJ,CJ McCollum,McCollum,27.75,10,6700,MIL@POR,POR,MIL,,,
29773-80821,C,Jarrett,Jarrett Allen,Allen,28.68999939,10,6700,BKN@PHO,BKN,PHO,,,
29773-66236,PF,John,John Collins,Collins,24.93066732,75,6600,ATL@CHA,ATL,CHA,O,Ankle,
29773-23572,SF,Taurean,Taurean Prince,Prince,27.52222188,9,6500,ATL@CHA,ATL,CHA,GTD,Ankle,
29773-80814,PG,Dennis,Dennis Smith Jr.,Smith Jr.,25.57500076,8,6500,WAS@DAL,DAL,WAS,,,
29773-19781,SG,Kent,Kent Bazemore,Bazemore,27.88888889,9,6400,ATL@CHA,ATL,CHA,,,
29773-15628,SF,Otto,Otto Porter Jr.,Porter Jr.,23.5,8,6100,WAS@DAL,WAS,DAL,GTD,Toe,
29773-15946,SF,Harrison,Harrison Barnes,Barnes,23.5,5,6000,WAS@DAL,DAL,WAS,,,
29773-9538,SF,Trevor,Trevor Ariza,Ariza,24.08888923,9,5700,BKN@PHO,PHO,BKN,,,
29773-15559,SG,Jeremy,Jeremy Lamb,Lamb,24.11999969,10,5700,ATL@CHA,CHA,ATL,,,
29773-9787,SF,DeMarre,DeMarre Carroll,Carroll,26.60684998,73,5600,BKN@PHO,BKN,PHO,GTD,Ankle,
