"Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"32020-9644","SG","James","James Harden","Harden","57.625","40","14000","BKN@HOU","HOU","BKN","","","","",""
"32020-15755","PF","Anthony","Anthony Davis","Davis","62.97435897435897","39","13700","NO@GS","NO","GS","","","","",""
"32020-40199","SF","Giannis","Giannis Antetokounmpo","Antetokounmpo","55.03499755859375","40","11500","MIL@MEM","MIL","MEM","","","","",""
"32020-9646","SF","Kevin","Kevin Durant","Durant","48.33636474609375","44","10400","NO@GS","GS","NO","","","","",""
"32020-20848","PG","Damian","Damian Lillard","Lillard","42.242222764756946","45","10100","CLE@POR","POR","CLE","","","","",""
"32020-9524","PG","Stephen","Stephen Curry","Curry","45.80000073982008","33","10000","NO@GS","GS","NO","","","","",""
"32020-40203","C","Rudy","Rudy Gobert","Gobert","40.54222276475694","45","9900","UTA@LAC","UTA","LAC","","","","",""
"32020-14513","SF","Kawhi","Kawhi Leonard","Leonard","47.105712890625","35","9800","TOR@BOS","TOR","BOS","","","","",""
"32020-9560","PF","Blake","Blake Griffin","Griffin","43.09750061035156","40","9700","ORL@DET","DET","ORL","","","","",""
"32020-15557","C","Andre","Andre Drummond","Drummond","44.00714401971726","42","9500","ORL@DET","DET","ORL","","","","",""
"32020-14514","C","Nikola","Nikola Vucevic","Vucevic","44.32142857142857","42","9200","ORL@DET","ORL","DET","","","","",""
"32020-66113","SG","Donovan","Donovan Mitchell","Mitchell","34.48048661394817","41","9000","UTA@LAC","UTA","LAC","","","","",""
"32020-55059","C","Clint","Clint Capela","Capela","40.63333275204613","42","9000","BKN@HOU","HOU","BKN","O","Thumb","","",""
"32020-14498","PG","Kyrie","Kyrie Irving","Irving","41.80000064247533","38","8900","TOR@BOS","BOS","TOR","","","","",""
"32020-9688","PF","LaMarcus","LaMarcus Aldridge","Aldridge","38.068888346354164","45","8900","SA@DAL","SA","DAL","","","","",""
"32020-55057","C","Jusuf","Jusuf Nurkic","Nurkic","37.13111165364583","45","8800","CLE@POR","POR","CLE","","","","",""
"32020-84669","SG","Luka","Luka Doncic","Doncic","36.671427408854164","42","8700","SA@DAL","DAL","SA","","","","",""
"32020-9663","SG","Jrue","Jrue Holiday","Holiday","42.67272671786222","44","8600","NO@GS","NO","GS","","","","",""
"32020-9714","SG","DeMar","DeMar DeRozan","DeRozan","40.82000054253472","45","8500","SA@DAL","SA","DAL","","","","",""
"32020-9575","PG","Mike","Mike Conley","Conley","36.75952439081101","42","8300","MIL@MEM","MEM","MIL","","","","",""
"32020-9623","PG","Chris","Chris Paul","Paul","36.61538461538461","26","8300","BKN@HOU","HOU","BKN","O","Hamstring","","",""
"32020-23776","PF","Montrezl","Montrezl Harrell","Harrell","32.576745321584305","43","7900","UTA@LAC","LAC","UTA","","","","",""
"32020-58312","SG","D'Angelo","D'Angelo Russell","Russell","33.99772782759233","44","7900","BKN@HOU","BKN","HOU","","","","",""
"32020-42669","C","Julius","Julius Randle","Randle","36.44418547874273","43","7800","NO@GS","NO","GS","","","","",""
"32020-12355","PG","Eric","Eric Bledsoe","Bledsoe","32.58604537609012","43","7700","MIL@MEM","MIL","MEM","","","","",""
"32020-14518","PF","Tobias","Tobias Harris","Harris","35.325581395348834","43","7600","UTA@LAC","LAC","UTA","","","","",""
"32020-41594","PF","Aaron","Aaron Gordon","Gordon","32.514633550876525","41","7500","ORL@DET","ORL","DET","","","","",""
