SEASON_YEAR,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,SITE,OPP_ID,OPP_ABBREVIATION,OPP_NAME,OPP_TOV_PCT,clean_DATE.x,LOOKUP,Game_Date,ROT,Away_Tm,Home_Tm,Proj_Pace,Proj_Away_OE,Proj_Home_OE,Proj_Spread,Proj_Total,clean_DATE.y
2018-19,1610612757,POR,Portland Trail Blazers,21800237,2018-11-18T00:00:00,POR @ WAS,W,48,110.8,113.3,100.7,102.8,10.1,10.5,0.667,1.73,18.3,0.224,0.763,0.519,0.143,0.517,0.587,107.8,105.5,A,1610612764,WAS,Washington Wizards,0.113,2018-11-18,2018-11-18POR,11/18/2018,703,POR,WAS,101.6,1.09,1.11,-1.4,223.7,2018-11-18
2018-19,1610612763,MEM,Memphis Grizzlies,21800234,2018-11-18T00:00:00,MEM @ MIN,W,48,105.3,103.1,89.7,88.8,15.6,14.3,0.743,2.17,19.4,0.216,0.714,0.46,0.124,0.5,0.538,96,97.5,A,1610612750,MIN,Minnesota Timberwolves,0.204,2018-11-18,2018-11-18MEM,11/18/2018,701,MEM,MIN,96,1.08,1.14,-6,213.1,2018-11-18
2018-19,1610612744,GSW,Golden State Warriors,21800238,2018-11-18T00:00:00,GSW @ SAS,L,48,94.6,94.8,104.5,108.3,-9.9,-13.5,0.571,1.67,15.4,0.269,0.717,0.495,0.124,0.436,0.483,98.4,96.5,A,1610612759,SAS,San Antonio Spurs,0.115,2018-11-18,2018-11-18GSW,11/18/2018,709,GSW,SAS,95.6,1.12,1.13,-0.8,214.7,2018-11-18
2018-19,1610612747,LAL,Los Angeles Lakers,21800235,2018-11-18T00:00:00,LAL @ MIA,W,48,112.7,117.7,99.6,101,13.1,16.7,0.381,1.6,12.3,0.321,0.698,0.505,0.104,0.5,0.542,98.8,96,A,1610612748,MIA,Miami Heat,0.146,2018-11-18,2018-11-18LAL,11/18/2018,705,LAL,MIA,103.8,1.1,1.11,-1.5,229.4,2018-11-18
2018-19,1610612752,NYK,New York Knicks,21800236,2018-11-18T00:00:00,NYK @ ORL,L,48,117.7,118.2,124.2,132.3,-6.5,-14.1,0.3,0.86,9.2,0.388,0.667,0.511,0.141,0.506,0.571,102.4,99,A,1610612753,ORL,Orlando Magic,0.172,2018-11-18,2018-11-18NYK,11/18/2018,707,NYK,ORL,98.3,1.06,1.12,-6,214.6,2018-11-18
2018-19,1610612747,LAL,Los Angeles Lakers,21800227,2018-11-17T00:00:00,LAL @ ORL,L,48,109.3,111.4,123.7,125,-14.3,-13.6,0.512,1.57,15.7,0.292,0.739,0.511,0.133,0.533,0.579,106.1,104.5,A,1610612753,ORL,Orlando Magic,0.125,2018-11-17,2018-11-17LAL,11/17/2018,503,LAL,ORL,103.2,1.11,1.09,2.8,226.7,2018-11-17
2018-19,1610612762,UTA,Utah Jazz,21800229,2018-11-17T00:00:00,UTA @ BOS,W,48,100.1,102.1,88.8,88.7,11.3,13.4,0.657,1.53,17.8,0.224,0.656,0.464,0.156,0.519,0.545,97.3,96.5,A,1610612738,BOS,Boston Celtics,0.144,2018-11-17,2018-11-17UTA,11/17/2018,511,UTA,BOS,98.2,1.03,1.07,-3.8,205.5,2018-11-17
2018-19,1610612744,GSW,Golden State Warriors,21800232,2018-11-17T00:00:00,GSW @ DAL,L,48,107.4,107.9,108.8,110.9,-1.4,-3,0.571,2,17.1,0.283,0.76,0.515,0.119,0.495,0.537,102.2,101,A,1610612742,DAL,Dallas Mavericks,0.099,2018-11-17,2018-11-17GSW,11/17/2018,517,GSW,DAL,98.6,1.12,1.1,1.9,219.2,2018-11-17
2018-19,1610612746,LAC,LA Clippers,21800224,2018-11-17T00:00:00,LAC @ BKN,W,48,121.5,129.6,120.3,120.2,1.2,9.4,0.479,2.88,16.8,0.314,0.647,0.48,0.082,0.563,0.602,101.8,98.5,A,1610612751,BKN,Brooklyn Nets,0.111,2018-11-17,2018-11-17LAC,11/17/2018,501,LAC,BKN,99.9,1.15,1.11,3.3,225.7,2018-11-17
2018-19,1610612755,PHI,Philadelphia 76ers,21800225,2018-11-17T00:00:00,PHI @ CHA,W,53,101.9,101.7,99.3,100,2.6,1.7,0.59,1.21,14.9,0.218,0.793,0.513,0.158,0.478,0.556,108.5,108.23,A,1610612766,CHA,Charlotte Hornets,0.151,2018-11-17,2018-11-17PHI,11/17/2018,509,PHI,CHA,101.7,1.13,1.12,0.9,229.1,2018-11-17
2018-19,1610612760,OKC,Oklahoma City Thunder,21800233,2018-11-17T00:00:00,OKC @ PHX,W,48,106.7,106.8,97.8,97.1,8.9,9.7,0.447,0.94,12.6,0.354,0.854,0.604,0.175,0.488,0.555,102.7,103,A,1610612756,PHX,Phoenix Suns,0.146,2018-11-17,2018-11-17OKC,11/17/2018,519,OKC,PHX,99.2,1.13,1.09,3.6,219.6,2018-11-17
2018-19,1610612761,TOR,Toronto Raptors,21800230,2018-11-17T00:00:00,TOR @ CHI,W,48,111.2,113,75.3,77.6,35.9,35.4,0.646,1.35,20.7,0.31,0.81,0.6,0.213,0.618,0.644,110,107.5,A,1610612741,CHI,Chicago Bulls,0.206,2018-11-17,2018-11-17TOR,11/17/2018,515,TOR,CHI,98.5,1.14,1.04,9.9,214,2018-11-17
2018-19,1610612743,DEN,Denver Nuggets,21800228,2018-11-17T00:00:00,DEN @ NOP,L,48,110.9,113.9,121.4,123.8,-10.5,-9.9,0.652,2.31,20.7,0.275,0.723,0.49,0.129,0.563,0.571,103.3,101,A,1610612740,NOP,New Orleans Pelicans,0.109,2018-11-17,2018-11-17DEN,11/17/2018,507,DEN,NOP,101.1,1.11,1.1,0.8,224,2018-11-17
2018-19,1610612737,ATL,Atlanta Hawks,21800226,2018-11-17T00:00:00,ATL @ IND,L,48,79.5,84,88,90.7,-8.4,-6.7,0.645,1.11,14.5,0.203,0.704,0.442,0.17,0.402,0.45,111.1,106.5,A,1610612754,IND,Indiana Pacers,0.224,2018-11-17,2018-11-17ATL,11/17/2018,505,ATL,IND,102.8,1.01,1.15,-14.3,221.9,2018-11-17
2018-19,1610612758,SAC,Sacramento Kings,21800231,2018-11-17T00:00:00,SAC @ HOU,L,48,103.4,106.7,122.7,125.7,-19.3,-19,0.5,1.64,15.9,0.321,0.73,0.484,0.133,0.505,0.522,107.9,105,A,1610612745,HOU,Houston Rockets,0.21,2018-11-17,2018-11-17SAC,11/17/2018,513,SAC,HOU,99.7,1.03,1.19,-15.9,221,2018-11-17
2018-19,1610612751,BKN,Brooklyn Nets,21800219,2018-11-16T00:00:00,BKN @ WAS,W,48,108.8,110.6,101,101,7.8,9.6,0.5,1.58,13.4,0.345,0.717,0.528,0.115,0.472,0.539,104.3,103.5,A,1610612764,WAS,Washington Wizards,0.126,2018-11-16,2018-11-16BKN,11/16/2018,701,BKN,WAS,100,1.1,1.14,-4.8,223.8,2018-11-16
2018-19,1610612757,POR,Portland Trail Blazers,21800221,2018-11-16T00:00:00,POR @ MIN,L,48,92.5,95,112.2,109.8,-19.7,-14.8,0.432,0.89,12,0.302,0.776,0.529,0.178,0.466,0.496,101.8,101.5,A,1610612750,MIN,Minnesota Timberwolves,0.118,2018-11-16,2018-11-16POR,11/16/2018,709,POR,MIN,100.5,1.1,1.15,-4.9,226,2018-11-16
2018-19,1610612741,CHI,Chicago Bulls,21800223,2018-11-16T00:00:00,CHI @ MIL,L,48,96.5,99,115.5,118.3,-19,-19.2,0.537,1.83,16.2,0.167,0.729,0.431,0.114,0.505,0.521,107.1,104.5,A,1610612749,MIL,Milwaukee Bucks,0.163,2018-11-16,2018-11-16CHI,11/16/2018,715,CHI,MIL,102.2,1.02,1.17,-15.9,224,2018-11-16
2018-19,1610612748,MIA,Miami Heat,21800217,2018-11-16T00:00:00,MIA @ IND,L,48,88.9,87.5,96.5,96.1,-7.6,-8.6,0.6,1.17,15,0.25,0.87,0.519,0.173,0.452,0.467,102.5,103.5,A,1610612754,IND,Indiana Pacers,0.184,2018-11-16,2018-11-16MIA,11/16/2018,703,MIA,IND,98.1,1.06,1.11,-4.8,212.4,2018-11-16
2018-19,1610612758,SAC,Sacramento Kings,21800220,2018-11-16T00:00:00,SAC @ MEM,L,48,101.4,103,109.2,112,-7.8,-9,0.622,1.1,16.8,0.304,0.745,0.527,0.208,0.538,0.574,102.6,100.5,A,1610612763,MEM,Memphis Grizzlies,0.16,2018-11-16,2018-11-16SAC,11/16/2018,711,SAC,MEM,99.5,1.03,1.11,-7.3,212.8,2018-11-16
2018-19,1610612762,UTA,Utah Jazz,21800218,2018-11-16T00:00:00,UTA @ PHI,L,48,99.7,105.9,109.6,110.8,-9.9,-4.8,0.366,1.15,11.2,0.346,0.688,0.51,0.129,0.489,0.513,105.2,101.5,A,1610612755,PHI,Philadelphia 76ers,0.167,2018-11-16,2018-11-16UTA,11/16/2018,705,UTA,PHI,102.1,1.06,1.08,-2.3,218.2,2018-11-16
