ROT,Away Team,Home Team,Pace,AwayOE,HomeOE,pSpread,pTotal,Spread,Total,Spread Delt,Total Delt
525,DAL,BOS,98.4,1.052494573,1.129149248,-7.542819947,214.673752,-5,214.5,-2.542819947,0.173751995
527,UTA,CLE,93.5,1.139660399,1.05198275,8.197860176,204.9186345,8.5,208,-0.302139824,-3.081365482
529,BKN,MEM,94.8,1.051599182,1.112477216,-5.771237653,205.1544425,-3.5,205,-2.271237653,0.154442483
531,WAS,MIA,96.6,1.049969701,1.12,-6.764926908,209.6190731,-6.5,213,-0.264926908,-3.380926908
533,ORL,MIN,96,1.051434777,1.133781834,-7.905317437,209.7807947,-5,212,-2.905317437,-2.219205346
535,IND,CHI,94.3,1.07127978,0.976683026,8.920473888,193.1228926,6.5,201,2.420473888,-7.877107363
537,ATL,MIL,102.7,1.06,1.21,-15.405,233.129,-13.5,230.5,-1.905,2.629
539,LAC,PHO,104.9,1.148969758,1.100614042,5.072514569,235.9813406,4,232,1.072514569,3.981340609
541,NYK,LAL,103.1,1.04,1.13,-9.279,223.727,-7.5,224,-1.779,-0.273
543,OKC,POR,104.2,1.09,1.08,1.042,226.114,1,223,0.042,3.114
