teams,opp,date,opener.odds,opener.juice,pinn.odds,pinn.juice,opener,totals,totalsjuice
Detroit,Atlanta,2015-10-27,8.0,-110.0,6.5,100.0,201.0,196.5,-105.0
Atlanta,Detroit,2015-10-27,-8.0,-110.0,-6.5,-110.0,201.0,196.5,-105.0
Cleveland,Chicago,2015-10-27,1.5,-110.0,4.0,-105.0,197.5,198.5,-108.0
Chicago,Cleveland,2015-10-27,-1.5,-110.0,-4.0,-105.0,197.5,198.5,-102.0
New Orleans,Golden State,2015-10-27,8.5,-110.0,10.5,-105.0,208.5,215.0,-102.0
Golden State,New Orleans,2015-10-27,-8.5,-110.0,-10.5,-105.0,208.5,215.0,-108.0
Washington,Orlando,2015-10-28,-3.5,-110.0,-4.5,102.0,194.0,202.0,-105.0
Orlando,Washington,2015-10-28,3.5,-110.0,4.5,-113.0,194.0,202.0,-105.0
Chicago,Brooklyn,2015-10-28,-3.0,-110.0,-5.0,-101.0,197.5,196.0,-107.0
Brooklyn,Chicago,2015-10-28,3.0,-110.0,5.0,-109.0,197.5,196.0,-103.0
Philadelphia,Boston,2015-10-28,9.0,-110.0,12.5,-110.0,201.5,198.0,-104.0
Boston,Philadelphia,2015-10-28,-9.0,-110.0,-12.5,100.0,201.5,198.0,-106.0
Utah,Detroit,2015-10-28,2.0,-110.0,-1.0,100.0,191.5,191.0,-105.0
Detroit,Utah,2015-10-28,-2.0,-110.0,1.0,-110.0,191.5,191.0,-105.0
Charlotte,Miami,2015-10-28,7.5,-110.0,6.5,-111.0,190.5,194.5,102.0
Miami,Charlotte,2015-10-28,-7.5,-110.0,-6.5,101.0,190.5,194.5,-113.0
Indiana,Toronto,2015-10-28,6.0,-110.0,5.5,-103.0,197.0,200.0,100.0
Toronto,Indiana,2015-10-28,-6.0,-110.0,-5.5,-107.0,197.0,200.0,-110.0
New York,Milwaukee,2015-10-28,4.0,-110.0,5.0,-102.0,195.0,194.5,-105.0
Milwaukee,New York,2015-10-28,-4.0,-110.0,-5.0,-108.0,195.0,194.5,-105.0
San Antonio,Oklahoma City,2015-10-28,4.5,-110.0,4.0,-103.0,211.5,207.5,-104.0
Oklahoma City,San Antonio,2015-10-28,-4.5,-110.0,-4.0,-107.0,211.5,207.5,-106.0
Denver,Houston,2015-10-28,9.5,-110.0,10.5,-113.0,214.5,212.0,-104.0
Houston,Denver,2015-10-28,-9.5,-110.0,-10.5,102.0,214.5,212.0,-106.0
Cleveland,Memphis,2015-10-28,1.5,-110.0,5.0,-103.0,194.5,189.0,-105.0
Memphis,Cleveland,2015-10-28,-1.5,-110.0,-5.0,-107.0,194.5,189.0,-105.0
L.A. Clippers,Sacramento,2015-10-28,-4.5,-110.0,-5.5,-106.0,211.0,212.5,-105.0
Sacramento,L.A. Clippers,2015-10-28,4.5,-110.0,5.5,-104.0,211.0,212.5,-105.0
Dallas,Phoenix,2015-10-28,-1.0,-110.0,6.0,-108.0,210.0,203.5,-101.0
Phoenix,Dallas,2015-10-28,1.0,-110.0,-6.0,-102.0,210.0,203.5,-109.0
