Game_Date,ROT,Away_Tm,Home_Tm,Proj_Pace,Proj_Away_OE,Proj_Home_OE,Proj_Spread,Proj_Total
10/24/2018,501,BKN,CLE,101.1,1.13,1.2,-7.077,235.563
10/24/2018,503,DAL,ATL,103.9,1.15,1.17,-2.078,241.048
10/24/2018,505,NYK,MIA,100.5,1.09,1.14,-5.025,224.115
10/24/2018,507,MIN,TOR,100.1,1.1,1.18,-8.008,228.228
10/24/2018,509,CHA,CHI,104.6,1.18,1.15,3.138,243.718
10/24/2018,511,UTA,HOU,98.3,1.07,1.09,-1.966,212.328
10/24/2018,513,IND,SAS,96.8,1.13,1.13,0,218.768
10/24/2018,515,PHI,MIL,102.9,1.08,1.11,-3.087,225.351
10/24/2018,517,LAL,PHX,106.5,1.2,1.14,6.39,249.21
10/24/2018,519,MEM,SAC,100.7,1.12,1.11,1.007,224.561
10/24/2018,521,WAS,GSW,105.1,1.07,1.18,-11.561,236.475
10/25/2018,701,CLE,DET,96.8,1.081,1.145,-6.2,215.5
10/25/2018,703,POR,ORL,101.2,1.094,1.074,2,219.4
10/25/2018,705,BOS,OKC,101.7,1.112,1.071,4.2,222
10/25/2018,707,DEN,LAL,105.4,1.143,1.149,-0.6,241.6
10/26/2018,501,CHI,CHA,100.1,1.09,1.2,-10.5,229.3
10/26/2018,503,DAL,TOR,98.3,1.03,1.21,-17.4,219.7
10/26/2018,505,GSW,NYK,102.2,1.17,1.03,14.5,225.2
10/26/2018,507,BKN,NOP,103.8,1.08,1.18,-10.7,234.1
10/26/2018,509,LAC,HOU,99.1,1.08,1.16,-7.7,222.6
10/26/2018,511,MIL,MIN,104.4,1.14,1.15,-1.9,238.9
10/26/2018,513,WAS,SAC,108.9,1.12,1.09,3.5,241.1
10/27/2018,701,BOS,DET,97.6,1.085,1.066,1.9,209.9
10/27/2018,703,UTA,NOP,103.3,1.1,1.047,5.5,221.8
10/27/2018,705,CHA,PHI,102.7,1.055,1.155,-10.3,227
10/27/2018,707,CHI,ATL,106.3,1.095,1.174,-8.4,241.2
10/27/2018,709,IND,CLE,96.4,1.15,1.1,4.8,216.9
10/27/2018,711,POR,MIA,100.8,1.091,1.099,-0.8,220.8
10/27/2018,713,PHX,MEM,95,1.062,1.163,-9.6,211.4
10/27/2018,715,LAL,SAS,103.2,1.18,1.167,1.3,242.2
10/27/2018,717,ORL,MIL,101.4,1.039,1.153,-11.6,222.3
10/28/2018,501,GSW,BKN,101.1,1.202,1.048,15.6,227.5
10/28/2018,503,PHX,OKC,100.3,1.094,1.184,-9,228.5
10/28/2018,505,UTA,DAL,100.5,1.098,1.004,9.4,211.3
10/28/2018,507,WAS,LAC,105.1,1.115,1.155,-4.2,238.6
10/29/2018,701,ATL,PHI,109.4,0.99,1.13,-15.2,231.8
10/29/2018,703,POR,IND,97.5,1.07,1.12,-5.5,213.3
10/29/2018,705,SAC,MIA,103.9,1.04,1.11,-7.4,223.9
10/29/2018,707,BKN,NYK,97.9,1.1,1.12,-2,217.3
10/29/2018,709,TOR,MIL,104.4,1.1,1.12,-1.9,230.9
10/29/2018,711,GSW,CHI,101.1,1.21,1.03,18.2,226.5
10/29/2018,713,LAL,MIN,108.9,1.16,1.19,-3.6,255.4
10/29/2018,715,DAL,SAS,95.7,1.09,1.18,-8.5,216.4
10/29/2018,717,NOP,DEN,103.3,1.06,1.15,-9.5,227.9
